approxkl,time_elapsed,serial_timesteps,ep_reward_mean,explained_variance,total_timesteps,fps,policy_loss,policy_entropy,value_loss,clipfrac,n_updates,ep_len_mean
2.3984055e-06,85.84064102172852,225280,709.78,0.8618583679199219,225280,2677,-0.0005658132,2.9944172,1.2782896,0.0,110,1999.0
5.7341695e-06,86.61110305786133,227328,709.22,0.8644231259822845,227328,2656,-0.0005322015,2.9943798,1.4162798,0.0,111,1999.0
3.3558001e-06,87.38259410858154,229376,708.85,0.864744022488594,229376,2684,-0.00051209365,2.9943519,1.5118394,0.0,112,1999.0
1.955501e-06,88.1457769870758,231424,709.13,0.8751416578888893,231424,2413,-0.00033131504,2.9943218,1.5433977,0.0,113,1999.0
1.113284e-06,88.99489688873291,233472,708.69,0.8559290170669556,233472,2380,-0.00034454447,2.9943042,1.7201593,0.0,114,1999.0
1.6398404e-06,89.8557481765747,235520,709.09,0.8876356855034828,235520,2667,-0.00041428333,2.9942946,1.3662117,0.0,115,1999.0
1.8760353e-06,90.62910485267639,237568,709.1,0.8758447468280792,237568,2662,-0.0004132458,2.9942632,1.4760363,0.0,116,1999.0
2.106199e-06,91.39881920814514,239616,709.19,0.8825037032365799,239616,2678,-0.0003930099,2.9941907,1.3885297,0.0,117,1999.0
2.414286e-06,92.16394805908203,241664,709.09,0.8803503960371017,241664,2624,-0.00049273996,2.994119,1.5964487,0.0,118,1999.0
2.082039e-06,92.94484901428223,243712,709.17,0.879353478550911,243712,2655,-0.00041284654,2.9940848,1.4433821,0.0,119,1999.0
2.9040289e-06,93.71647691726685,245760,709.23,0.8914745673537254,245760,2672,-0.00059802353,2.9940863,1.2639009,0.0,120,1999.0
3.4167308e-06,94.48979115486145,247808,708.83,0.888138547539711,247808,2640,-0.0004049278,2.9940357,1.6689217,0.0,121,1999.0
3.5685584e-06,95.26591801643372,249856,709.22,0.9317082017660141,249856,2658,-0.0007931036,2.99398,1.1075634,0.0,122,1999.0
5.4801317e-06,96.03658103942871,251904,709.44,0.9149793833494186,251904,2216,-0.00056616083,2.9939585,1.5133741,0.0,123,1999.0
5.799583e-06,96.96084308624268,253952,709.65,0.8971671760082245,253952,2678,-0.0009677211,2.9938993,1.228732,0.0,124,1999.0
1.2385368e-05,97.72578406333923,256000,709.43,0.893061026930809,256000,2655,-0.0010291582,2.9937816,1.333115,0.0,125,1999.0
1.3725864e-05,98.50264000892639,258048,709.18,0.8914238661527634,258048,2665,-0.0012304327,2.993754,1.3109498,0.0,126,1999.0
2.2401106e-05,99.27153015136719,260096,709.13,0.893079087138176,260096,2658,-0.0013476035,2.9936914,1.3371571,0.0,127,1999.0
1.781654e-05,100.04235696792603,262144,708.98,0.8834171667695045,262144,2668,-0.0010371685,2.9935153,1.507578,0.0,128,1999.0
1.1241891e-05,100.8103199005127,264192,708.78,0.8977237418293953,264192,2668,-0.00085701636,2.9932904,1.348785,0.0,129,1999.0
2.896713e-05,101.57808423042297,266240,708.64,0.9160478636622429,266240,2672,-0.002328521,2.9931626,1.0589268,0.0,130,1999.0
